list_name,member_id,party,cname,chair
"Paisley, Ian",4129,Democratic Unionist Party,Panel of Chairs,
"Paisley, Ian",4129,Democratic Unionist Party,Northern Ireland Affairs Committee,
"Parish, Neil",4072,Conservative,"Environment, Food and Rural Affairs Committee","{'StartDate': '2017-07-12T00:00:00', 'EndDate': {'@xsi:nil': 'true', '@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance'}}"
"Pawsey, Mark",4052,Conservative,"Business, Energy and Industrial Strategy Committee",
"Peacock, Stephanie",4607,Labour,Science and Technology Committee (Commons),
"Phillips, Jess",4370,Labour,Women and Equalities Committee,
"Phillips, Jess",4370,Labour,Commons Reference Group on Representation and Inclusion,
"Phillips, Jess",4370,Labour,Backbench Business Committee,
"Phillipson, Bridget",4046,Labour,Speaker's Committee on the Electoral Commission,
"Phillipson, Bridget",4046,Labour,Public Accounts Committee,
"Phillipson, Bridget",4046,Labour,Committee on Standards,
"Phillipson, Bridget",4046,Labour,Committee on Privileges,
"Pidcock, Laura",4665,Labour,Justice Committee,
"Pincher, Christopher",4075,Conservative,Selection Committee,
"Pollard, Luke",4682,Labour,Transport Committee,
"Poulter, Dr Dan",3932,Conservative,Environmental Audit Committee,
"Pow, Rebecca",4522,Conservative,"Digital, Culture, Media and Sport",
"Powell, Lucy",4263,Labour,Education Committee,
"Prentis, Victoria",4401,Conservative,Justice Committee,
"Prisk, Mr Mark",1424,Conservative,Communities and Local Government Committee,
"Pritchard, Mark",1576,Conservative,Panel of Chairs,
"Pritchard, Mark",1576,Conservative,Human Rights (Joint Committee),
"Quince, Will",4423,Conservative,Home Affairs Committee,
"Quince, Will",4423,Conservative,Commons Reference Group on Representation and Inclusion,
"Rashid, Faisal",4670,Labour,International Trade Committee,
"Rees-Mogg, Mr Jacob",4099,Conservative,Committee on Exiting the European Union,
"Reeves, Ellie",4620,Labour,Justice Committee,
"Reeves, Rachel",4031,Labour,National Security Strategy (Joint Committee),
"Reeves, Rachel",4031,Labour,"Business, Energy and Industrial Strategy Committee","{'StartDate': '2017-07-12T00:00:00', 'EndDate': {'@xsi:nil': 'true', '@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance'}}"
"Reynolds, Emma",4077,Labour,Committee on Exiting the European Union,
"Robertson, Mr Laurence",253,Conservative,Panel of Chairs,
"Robinson, Gavin",4360,Democratic Unionist Party,Ecclesiastical Committee (Joint Committee),
"Robinson, Gavin",4360,Democratic Unionist Party,Defence Committee,
"Robinson, Mary",4406,Conservative,Communities and Local Government Committee,
"Robinson, Mary",4406,Conservative,Administration Committee,
"Rosindell, Andrew",1447,Conservative,Panel of Chairs,
"Rosindell, Andrew",1447,Conservative,Foreign Affairs Committee,
"Rowley, Danielle",4628,Labour,Scottish Affairs Committee,
"Rowley, Lee",4652,Conservative,Statutory Instruments (Select Committee),
"Rowley, Lee",4652,Conservative,Statutory Instruments (Joint Committee),
"Russell-Moyle, Lloyd",4615,Labour,International Development Sub-Committee on the Work of the Independent Commission for Aid Impact,
"Russell-Moyle, Lloyd",4615,Labour,International Development Committee,
"Ryan, Joan",166,Labour,Panel of Chairs,
"Ryan, Joan",166,Labour,Environmental Audit Committee,
"Sandbach, Antoinette",4506,Conservative,"Business, Energy and Industrial Strategy Committee",
"Saville Roberts, Liz",4521,Plaid Cymru,Welsh Affairs Committee,
"Scully, Paul",4414,Conservative,Petitions Committee,
"Scully, Paul",4414,Conservative,International Development Sub-Committee on the Work of the Independent Commission for Aid Impact,"{'StartDate': '2017-09-13T00:00:00', 'EndDate': {'@xsi:nil': 'true', '@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance'}}"
"Scully, Paul",4414,Conservative,International Development Committee,
"Selous, Andrew",1453,Conservative,Health Committee,
"Shah, Naz",4409,Labour,Home Affairs Committee,
"Shannon, Jim",4131,Democratic Unionist Party,Northern Ireland Affairs Committee,
"Sharma, Mr Virendra",1604,Labour,Panel of Chairs,
"Sharma, Mr Virendra",1604,Labour,International Development Sub-Committee on the Work of the Independent Commission for Aid Impact,
"Sharma, Mr Virendra",1604,Labour,International Development Committee,
"Sheppard, Tommy",4453,Scottish National Party,Scottish Affairs Committee,
"Shuker, Mr Gavin",4013,Labour,Women and Equalities Committee,
"Shuker, Mr Gavin",4013,Labour,Commons Reference Group on Representation and Inclusion,
"Siddiq, Tulip",4518,Labour,Women and Equalities Committee,
"Simpson, David",1597,Democratic Unionist Party,"Environment, Food and Rural Affairs Committee",
"Smeeth, Ruth",4508,Labour,Defence Committee,
"Smith, Angela",1564,Labour,"Environment, Food and Rural Affairs Committee",
"Smith, Henry",3960,Conservative,International Development Sub-Committee on the Work of the Independent Commission for Aid Impact,
"Smith, Henry",3960,Conservative,International Development Committee,
"Smith, Julian",4118,Conservative,Selection Committee,
"Smith, Laura",4648,Labour,Transport Committee,
"Smith, Nick",3928,Labour,Procedure Committee,
"Smith, Royston",4478,Conservative,Foreign Affairs Committee,
"Snell, Gareth",4595,Labour,Public Accounts Committee,
"Sobel, Alex",4658,Labour,Environmental Audit Committee,
"Sobel, Alex",4658,Labour,Backbench Business Committee,
"Spellar, John",318,Labour,Defence Committee,
"Spelman, Dame Caroline",312,Conservative,Ecclesiastical Committee (Joint Committee),
"Stephens, Chris",4463,Scottish National Party,Work and Pensions Committee,
"Stevens, Jo",4425,Labour,"Digital, Culture, Media and Sport",
"Stevenson, John",3942,Conservative,Committee on Standards,
"Stevenson, John",3942,Conservative,Committee on Privileges,
"Stewart, Bob",3919,Conservative,Northern Ireland Affairs Committee,
"Stewart, Iain",4015,Conservative,Transport Committee,
"Streeter, Mr Gary",234,Conservative,Panel of Chairs,
"Streeting, Wes",4504,Labour,Treasury Sub-Committee,
"Streeting, Wes",4504,Labour,Treasury Committee,
"Stringer, Graham",449,Labour,Transport Committee,
"Stringer, Graham",449,Labour,Science and Technology Committee (Commons),
"Stringer, Graham",449,Labour,Panel of Chairs,
"Sturdy, Julian",4079,Conservative,"Environment, Food and Rural Affairs Committee",
"Swayne, Sir Desmond",55,Conservative,Ecclesiastical Committee (Joint Committee),
"Syms, Sir Robert",245,Conservative,Statutory Instruments (Select Committee),
"Syms, Sir Robert",245,Conservative,Statutory Instruments (Joint Committee),
"Syms, Sir Robert",245,Conservative,Finance Committee (Commons),
"Tami, Mark",1383,Labour,Selection Committee,
"Tami, Mark",1383,Labour,Finance Committee (Commons),
"Tami, Mark",1383,Labour,Administration Committee,
"Thomson, Ross",4599,Conservative,Scottish Affairs Committee,
"Throup, Maggie",4447,Conservative,Health Committee,
"Timms, Stephen",163,Labour,Committee on Exiting the European Union,
"Tomlinson, Michael",4497,Conservative,European Scrutiny Committee,
"Tugendhat, Tom",4462,Conservative,National Security Strategy (Joint Committee),
"Tugendhat, Tom",4462,Conservative,Foreign Affairs Committee,"{'StartDate': '2017-07-12T00:00:00', 'EndDate': {'@xsi:nil': 'true', '@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance'}}"
"Turley, Anna",4449,Labour,"Business, Energy and Industrial Strategy Committee",
"Twigg, Derek",429,Labour,Statutory Instruments (Select Committee),
"Twigg, Derek",429,Labour,Statutory Instruments (Joint Committee),
"Twigg, Stephen",167,Labour,National Security Strategy (Joint Committee),
"Twigg, Stephen",167,Labour,International Development Sub-Committee on the Work of the Independent Commission for Aid Impact,
"Twigg, Stephen",167,Labour,International Development Committee,"{'StartDate': '2017-07-12T00:00:00', 'EndDate': {'@xsi:nil': 'true', '@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance'}}"
"Twist, Liz",4618,Labour,Petitions Committee,
"Twist, Liz",4618,Labour,Communities and Local Government Committee,
"Vaz, Keith",338,Labour,International Trade Committee,
"Vaz, Valerie",4076,Labour,Speaker's Committee for the Independent Parliamentary Standards Authority,
"Vickers, Martin",3957,Conservative,Transport Committee,
"Villiers, Theresa",1500,Conservative,National Security Strategy (Joint Committee),
"Walker, Mr Charles",1493,Conservative,Speaker's Committee for the Independent Parliamentary Standards Authority,
"Walker, Mr Charles",1493,Conservative,Procedure Committee,"{'StartDate': '2017-07-12T00:00:00', 'EndDate': {'@xsi:nil': 'true', '@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance'}}"
"Walker, Mr Charles",1493,Conservative,Panel of Chairs,
"Walker, Thelma",4649,Labour,Education Committee,
"Warburton, David",4526,Conservative,European Scrutiny Committee,
"Watling, Giles",4677,Conservative,"Digital, Culture, Media and Sport",
"West, Catherine",4523,Labour,International Trade Committee,
"Western, Matt",4617,Labour,International Trade Committee,
"Whitfield, Martin",4626,Labour,Science and Technology Committee (Commons),
"Whitford, Dr Philippa",4385,Scottish National Party,European Scrutiny Committee,
"Whittingdale, Mr John",39,Conservative,Committee on Exiting the European Union,
"Wiggin, Bill",1428,Conservative,Selection Committee,"{'StartDate': '2017-09-13T00:00:00', 'EndDate': {'@xsi:nil': 'true', '@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance'}}"
"Williams, Hywel",1397,Plaid Cymru,Committee on Exiting the European Union,
"Williams, Dr Paul",4666,Labour,Health Committee,
"Wilson, Phil",1603,Labour,Panel of Chairs,
"Wilson, Phil",1603,Labour,Defence Committee,
"Wilson, Sammy",1593,Democratic Unionist Party,Committee on Exiting the European Union,
"Winterton, Dame Rosie",390,Labour,Panel of Chairs,
"Wishart, Pete",1440,Scottish National Party,Scottish Affairs Committee,"{'StartDate': '2017-07-12T00:00:00', 'EndDate': {'@xsi:nil': 'true', '@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance'}}"
"Wollaston, Dr Sarah",4073,Conservative,Health Committee,"{'StartDate': '2017-07-12T00:00:00', 'EndDate': {'@xsi:nil': 'true', '@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance'}}"
"Wragg, Mr William",4429,Conservative,Procedure Committee,
"Wragg, Mr William",4429,Conservative,Finance Committee (Commons),
"Wragg, Mr William",4429,Conservative,Education Committee,
"Wragg, Mr William",4429,Conservative,Backbench Business Committee,
"Zahawi, Nadhim",4113,Conservative,Foreign Affairs Committee,
"Zeichner, Daniel",4382,Labour,Transport Committee,
