Name,Party,gid
Jack Lopresti,Conservative,apprenticeships
Baroness Garden of Frognal,Liberal Democrat,apprenticeships
Rebecca Harris,Conservative,apprenticeships
Karin Smyth,Labour,apprenticeships
Lord Lucas,Conservative,apprenticeships
Tim Loughton,Conservative,archaeology
Lord Renfrew of Kaimsthorn,Conservative,archaeology
Lord Redesdale,Liberal Democrat,archaeology
Paul Flynn,Labour,archaeology
Lord Stunell,Liberal Democrat,archaeology
Nick Thomas-Symonds,Labour,archives-and-history
Lord Clark of Windermere,Labour,archives-and-history
Richard Graham,Conservative,archives-and-history
Lord Boswell of Aynho,Non-affiliated,archives-and-history
Lord Bew,Crossbench,archives-and-history
Lord Aberdare,Crossbench,archives-and-history
James Gray,Conservative,armed-forces
Oliver Colvile,Conservative,armed-forces
Bob Stewart,Conservative,armed-forces
Mrs Madeleine Moon,Labour,armed-forces
Kevin Foster,Conservative,armed-forces
Mrs Anne-Marie Trevelyan,Conservative,armed-forces
Stephen Doughty,Labour (Co-op),armed-forces
Jason McCartney,Conservative,armed-forces
Wendy Morton,Conservative,armed-forces
Baroness Jolly,Liberal Democrat,armed-forces
Lord Rogan,Ulster Unionist Party,armed-forces
Steven Paterson,Scottish National Party,armed-forces
Ruth Smeeth,Labour,armed-forces
Lord Maginnis of Drumglass,Independent Ulster Unionist,armed-forces
Baroness Smith of Newnham,Liberal Democrat,armed-forces
Mrs Anne-Marie Trevelyan,Conservative,armed-forces-covenant
Michael Tomlinson,Conservative,armed-forces-covenant
Johnny Mercer,Conservative,armed-forces-covenant
Derek Twigg,Labour,armed-forces-covenant
Kirsten Oswald,Scottish National Party,armed-forces-covenant
Danny Kinahan,Ulster Unionist Party,armed-forces-covenant
David Simpson,Democratic Unionist Party,armed-forces-covenant
Mike Gapes,Labour (Co-op),arrhythmias
Glyn Davies,Conservative,arrhythmias
Mark Durkan,Social Democratic & Labour Party,arrhythmias
Baroness Warwick of Undercliffe,Labour,arrhythmias
Lord Colwyn,Conservative,arrhythmias
Mrs Sharon Hodgson,Labour,art-craft-and-design-in-education
Earl of Clancarty,Crossbench,art-craft-and-design-in-education
Lord Cormack,Conservative,art-craft-and-design-in-education
Baroness Jones of Whitchurch,Labour,art-craft-and-design-in-education
Baroness Nye,Labour,art-craft-and-design-in-education
Baroness Goudie,Labour,art-craft-and-design-in-education
Baroness Dean of Thornton-le-Fylde,Labour,art-craft-and-design-in-education
Baroness Bonham-Carter of Yarnbury,Liberal Democrat,art-craft-and-design-in-education
Tulip Siddiq,Labour,art-craft-and-design-in-education
Lord Freyberg,Crossbench,art-craft-and-design-in-education
Stephen Metcalfe,Conservative,artificial-intelligence
Lord Clement-Jones,Liberal Democrat,artificial-intelligence
Chris Green,Conservative,artificial-intelligence
Bishop of Oxford,Bishops,artificial-intelligence
Baroness Kramer,Liberal Democrat,artificial-intelligence
Lord Janvrin,Crossbench,artificial-intelligence
Lord Broers,Crossbench,artificial-intelligence
Mr Mark Hendrick,Labour (Co-op),artificial-intelligence
Carol Monaghan,Scottish National Party,artificial-intelligence
Gordon Marsden,Labour,arts-and-heritage
Lord Crathorne,Conservative,arts-and-heritage
Lord Freeman,Conservative,arts-and-heritage
Mr Ian Liddell-Grainger,Conservative,arts-and-heritage
Jason McCartney,Conservative,arts-health-and-wellbeing
Lord Howarth of Newport,Labour,arts-health-and-wellbeing
Fiona Mactaggart,Labour,arts-health-and-wellbeing
Baroness Andrews,Labour,arts-health-and-wellbeing
Seema Malhotra,Labour (Co-op),assistive-technology
Lord Low of Dalston,Crossbench,assistive-technology
Lord Holmes of Richmond,Conservative,assistive-technology
John Cryer,Labour,assistive-technology
Neil Coyle,Labour,assistive-technology
Mr Barry Sheerman,Labour (Co-op),assistive-technology
Bill Esterson,Labour,assistive-technology
Mr Barry Sheerman,Labour (Co-op),atrial-fibrillation
Glyn Davies,Conservative,atrial-fibrillation
Lord Colwyn,Conservative,atrial-fibrillation
Lord Jones of Cheltenham,Liberal Democrat,atrial-fibrillation
Baroness Masham of Ilton,Crossbench,atrial-fibrillation
Mrs Cheryl Gillan,Conservative,autism
Lord Touhig,Labour,autism
Steve Brine,Conservative,autism
Ronnie Cowan,Scottish National Party,autism
Thangam Debbonaire,Labour,autism
Mrs Flick Drummond,Conservative,autism
Robert Flello,Labour,autism
Baroness Hollins,Crossbench,autism
Charlotte Leslie,Conservative,autism
Justin Madders,Labour,autism
Huw Merriman,Conservative,autism
Christina Rees,Labour (Co-op),autism
Jonathan Reynolds,Labour (Co-op),autism
Cat Smith,Labour,autism
Baroness Uddin,Non-affiliated,autism
Mark Pritchard,Conservative,aviation
Graham Stringer,Labour,aviation
Jack Lopresti,Conservative,aviation
Mr Stewart Jackson,Conservative,aviation
Antoinette Sandbach,Conservative,baby-loss
Will Quince,Conservative,baby-loss
Mrs Sharon Hodgson,Labour,baby-loss
Victoria Prentis,Conservative,baby-loss
Mrs Louise Ellman,Labour (Co-op),bahai
Mr Mark Williams,Liberal Democrat,bahai
Mr Alistair Carmichael,Liberal Democrat,bahai
Craig Williams,Conservative,bahai
Mrs Sharon Hodgson,Labour,basketball
Lord Wasserman,Conservative,basketball
Lord Addington,Liberal Democrat,basketball
Oliver Colvile,Conservative,basketball
Chi Onwurah,Labour,basketball
Alison Thewliss,Scottish National Party,basketball
Huw Merriman,Conservative,bbc
Maria Eagle,Labour,bbc
Lord Gordon of Strathblane,Labour,bbc
Jeremy Lefroy,Conservative,bbc
Jason McCartney,Conservative,bbc
Mark Menzies,Conservative,bbc
Graham Evans,Conservative,beer
Mr Nigel Evans,Conservative,beer
Mike Wood,Conservative,beer
Grahame Morris,Labour,beer
Pete Wishart,Scottish National Party,beer
John Pugh,Liberal Democrat,beer
Jonathan Edwards,Plaid Cymru,beer
Lord Holmes of Richmond,Conservative,beer
Lord Kennedy of Southwark,Labour,beer
Lord Jones of Cheltenham,Liberal Democrat,beer
Lord Dholakia,Liberal Democrat,beer
Nigel Adams,Conservative,beer
Ruth Smeeth,Labour,beer
Huw Merriman,Conservative,bees
Robert Flello,Labour,bees
Danny Kinahan,Ulster Unionist Party,bees
Simon Hoare,Conservative,bees
Richard Arkless,Scottish National Party,bees
Mrs Anne-Marie Trevelyan,Conservative,bees
Chris Green,Conservative,bees
Michael Tomlinson,Conservative,bees
Tim Loughton,Conservative,bees
John Penrose,Conservative,best-brexit
Emma Reynolds,Labour,best-brexit
Gareth Johnson,Conservative,best-brexit
Stephen Kinnock,Labour,best-brexit
Dame Caroline Spelman,Conservative,best-brexit
Sir Peter Bottomley,Conservative,best-brexit
Mr Adrian Bailey,Labour (Co-op),best-brexit
Stephen Kinnock,Labour,better-brexit-for-young-people
Caroline Lucas,Green Party,better-brexit-for-young-people
Ben Howlett,Conservative,better-brexit-for-young-people
Stuart Blair Donaldson,Scottish National Party,better-brexit-for-young-people
Anna Soubry,Conservative,better-brexit-for-young-people
Philip Davies,Conservative,betting-and-gaming
Baroness Golding,Labour,betting-and-gaming
Lord Mancroft,Conservative,betting-and-gaming
John Spellar,Labour,betting-and-gaming
Viscount Falkland,Crossbench,betting-and-gaming
Lord Donoughue,Labour,betting-and-gaming
Anna Turley,Labour (Co-op),bingo
Philip Davies,Conservative,bingo
Dawn Butler,Labour,bingo
Mark Pritchard,Conservative,bingo
Peter Aldous,Conservative,bingo
Nigel Adams,Conservative,biomass
Mrs Anne-Marie Trevelyan,Conservative,biomass
Dr Alan Whitehead,Labour,biomass
Marcus Fysh,Conservative,biomass
Henry Smith,Conservative,blood-cancer
Colleen Fletcher,Labour,blood-cancer
Jason McCartney,Conservative,blood-cancer
Jim Shannon,Democratic Unionist Party,blood-cancer
Nick Thomas-Symonds,Labour,blood-cancer
Jess Phillips,Labour,blood-cancer
Stewart Malcolm McDonald,Scottish National Party,blood-donation
Paula Sherriff,Labour,blood-donation
Stuart Andrew,Conservative,blood-donation
Baroness Masham of Ilton,Crossbench,blood-donation
Mary Glindon,Labour,body-image
Stuart Blair Donaldson,Scottish National Party,body-image
Helen Goodman,Labour,body-image
Rebecca Harris,Conservative,body-image
Charlotte Leslie,Conservative,boxing
David T. C. Davies,Conservative,boxing
John Cryer,Labour,boxing
Stephen Pound,Labour,boxing
Owen Thompson,Scottish National Party,boys-brigade
Steven Paterson,Scottish National Party,boys-brigade
Lord Griffiths of Burry Port,Labour,boys-brigade
Steve McCabe,Labour,boys-brigade
Mr David Burrowes,Conservative,boys-brigade
Sir Jeffrey M. Donaldson,Democratic Unionist Party,boys-brigade
John Mc Nally,Scottish National Party,boys-brigade
Rebecca Harris,Conservative,brain-tumours
Kevin Brennan,Labour,brain-tumours
Lord Carlile of Berriew,Non-affiliated,brain-tumours
Mark Durkan,Social Democratic & Labour Party,brain-tumours
Caroline Ansell,Conservative,brain-tumours
Mrs Sharon Hodgson,Labour,breast-cancer
Craig Tracey,Conservative,breast-cancer
Dr Philippa Whitford,Scottish National Party,breast-cancer
Jo Churchill,Conservative,breast-cancer
Baroness Massey of Darwen,Labour,breast-cancer
Mr Nigel Evans,Conservative,brexpats-living-in-continental-europe-and-european-expats-in-the-uk
Baroness Prosser,Labour,brexpats-living-in-continental-europe-and-european-expats-in-the-uk
Corri Wilson,Scottish National Party,brexpats-living-in-continental-europe-and-european-expats-in-the-uk
Lord Collins of Highbury,Labour,brexpats-living-in-continental-europe-and-european-expats-in-the-uk
Mrs Cheryl Gillan,Conservative,brexpats-living-in-continental-europe-and-european-expats-in-the-uk
Lord Oates,Liberal Democrat,brexpats-living-in-continental-europe-and-european-expats-in-the-uk
Sammy Wilson,Democratic Unionist Party,brexpats-living-in-continental-europe-and-european-expats-in-the-uk
David T. C. Davies,Conservative,brexpats-living-in-continental-europe-and-european-expats-in-the-uk
Bob Blackman,Conservative,bridge
Lord Skelmersdale,Conservative,bridge
Lord Harrison,Labour,bridge
Baroness Sharples,Conservative,bridge
Lord Hamilton of Epsom,Conservative,bridge
Baroness Oppenheim-Barnes,Conservative,bridge
Fabian Hamilton,Labour,bridge
Baroness Henig,Labour,bridge
David Warburton,Conservative,british-council
Stephen Kinnock,Labour,british-council
John Glen,Conservative,british-council
Baroness Hooper,Conservative,british-council
Baroness Grey-Thompson,Crossbench,british-council
Baroness Coussins,Crossbench,british-council
Lord Alderdice,Liberal Democrat,british-council
Tim Loughton,Conservative,british-museum
Ms Gisela Stuart,Labour,british-museum
Lord Lea of Crondall,Labour,british-museum
Mark Pritchard,Conservative,british-museum
Baroness Bonham-Carter of Yarnbury,Liberal Democrat,british-museum
Baroness Hooper,Conservative,british-museum
Mr Graham Brady,Conservative,british-museum
Holly Lynch,Labour,british-museum
Danny Kinahan,Ulster Unionist Party,british-museum
Robert Jenrick,Conservative,british-museum
Angus Brendan MacNeil,Scottish National Party,british-museum
Sir William Cash,Conservative,british-property-owners-in-cyprus
Mr Bernard Jenkin,Conservative,british-property-owners-in-cyprus
Mrs Sharon Hodgson,Labour,british-property-owners-in-cyprus
Mark Field,Conservative,british-property-owners-in-cyprus
Matt Warman,Conservative,broadband-and-digital-communication
Mr Ian Liddell-Grainger,Conservative,broadband-and-digital-communication
Michael Tomlinson,Conservative,broadband-and-digital-communication
Antoinette Sandbach,Conservative,broadband-and-digital-communication
Simon Hoare,Conservative,broadband-and-digital-communication
Chris Davies,Conservative,broadband-and-digital-communication
Victoria Atkins,Conservative,broadband-and-digital-communication
Mrs Anne-Marie Trevelyan,Conservative,broadband-and-digital-communication
Rebecca Pow,Conservative,broadband-and-digital-communication
Calum Kerr,Scottish National Party,broadband-and-digital-communication
Kelvin Hopkins,Labour,broadband-and-digital-communication
Oliver Colvile,Conservative,built-environment
Helen Hayes,Labour,built-environment
Mrs Maria Miller,Conservative,built-environment
Earl of Lytton,Crossbench,built-environment
Lord Howie of Troon,Labour,built-environment
Daniel Zeichner,Labour,bullying
Baroness Brinton,Liberal Democrat,bullying
Mr George Howarth,Labour,bullying
Baroness Howe of Idlicote,Crossbench,bullying
David Warburton,Conservative,bullying
Earl of Listowel,Crossbench,bullying
Anne Marie Morris,Conservative,business-brexit
Ms Gisela Stuart,Labour,business-brexit
Mr Steve Baker,Conservative,business-brexit
Mr Alan Mak,Conservative,business-brexit
Lord Howard of Rising,Conservative,business-brexit
Mr Peter Lilley,Conservative,business-brexit
Kelvin Hopkins,Labour,business-brexit
Mr Iain Wright,Labour,business-finance-and-accountancy
Nigel Mills,Conservative,business-finance-and-accountancy
David Warburton,Conservative,business-finance-and-accountancy
Mark Pawsey,Conservative,business-finance-and-accountancy
Catherine McKinnell,Labour,cafod
Maria Caulfield,Conservative,cafod
Lord Alton of Liverpool,Crossbench,cafod
Lord McNally,Liberal Democrat,cafod
Mr John Baron,Conservative,cancer
Baroness Morgan of Drefelin,Crossbench,cancer
Baroness Masham of Ilton,Crossbench,cancer
Baroness Finlay of Llandaff,Crossbench,cancer
Jo Churchill,Conservative,cancer
Nic Dakin,Labour,cancer
Albert Owen,Labour,cancer
David Tredinnick,Conservative,cancer
Mark Durkan,Social Democratic & Labour Party,cancer
Jim Shannon,Democratic Unionist Party,cancer
Craig Williams,Conservative,cannabis-harmful-effects-on-developing-brains
Craig Mackinlay,Conservative,cannabis-harmful-effects-on-developing-brains
Carolyn Harris,Labour,cannabis-harmful-effects-on-developing-brains
Mrs Cheryl Gillan,Conservative,cannabis-harmful-effects-on-developing-brains
Mr Mark Williams,Liberal Democrat,cannabis-harmful-effects-on-developing-brains
Alex Cunningham,Labour,carbon-capture-and-storage
Peter Aldous,Conservative,carbon-capture-and-storage
Dr Eilidh Whiteford,Scottish National Party,carbon-capture-and-storage
Baroness Worthington,Non-affiliated,carbon-capture-and-storage
Mr Barry Sheerman,Labour (Co-op),carbon-monoxide
Andrew Bingham,Conservative,carbon-monoxide
Baroness Maddock,Liberal Democrat,carbon-monoxide
Baroness Finlay of Llandaff,Crossbench,carbon-monoxide
Ms Margaret Ritchie,Social Democratic & Labour Party,carbon-monoxide
Margaret Ferrier,Scottish National Party,carbon-monoxide
Alistair Burt,Conservative,carers
Baroness Pitkeathley,Labour,carers
Alex Cunningham,Labour,carers
Mims Davies,Conservative,carers
Dr Eilidh Whiteford,Scottish National Party,carers
Caroline Lucas,Green Party,carers
Jack Dromey,Labour,carers
Baroness Lister of Burtersett,Labour,carers
Dr Dan Poulter,Conservative,carers
Baroness Tyler of Enfield,Liberal Democrat,carers
Ruth Smeeth,Labour,ceramics
James Cleverly,Conservative,ceramics
Gareth Snell,Labour (Co-op),ceramics
Baroness Golding,Labour,ceramics
Jeremy Lefroy,Conservative,ceramics
Robert Flello,Labour,ceramics
Nadhim Zahawi,Conservative,channel-4
Baroness Bonham-Carter of Yarnbury,Liberal Democrat,channel-4
George Kerevan,Scottish National Party,channel-4
Luciana Berger,Labour (Co-op),channel-4
Susan Elan Jones,Labour,charities-and-volunteering
Chris White,Conservative,charities-and-volunteering
Lord Hodgson of Astley Abbotts,Conservative,charities-and-volunteering
Baroness Pitkeathley,Labour,charities-and-volunteering
Dr Paul Monaghan,Scottish National Party,charities-and-volunteering
Martin Docherty-Hughes,Scottish National Party,charities-and-volunteering
Lord Shinkwin,Conservative,charities-and-volunteering
Graham Evans,Conservative,chemical-industry
Alex Cunningham,Labour,chemical-industry
Angela Smith,Labour,chemical-industry
Lord De Mauley,Conservative,chemical-industry
Yasmin Qureshi,Labour,chess
David Mowat,Conservative,chess
Lord Harrison,Labour,chess
Stephen Metcalfe,Conservative,chess
Dr Dan Poulter,Conservative,chess
Stephen McPartland,Conservative,child-and-youth-crime
Mr Nigel Evans,Conservative,child-and-youth-crime
Mr David Burrowes,Conservative,child-and-youth-crime
Mark Durkan,Social Democratic & Labour Party,child-and-youth-crime
Kate Hoey,Labour,child-and-youth-crime
Stephen McPartland,Conservative,child-health-and-vaccine-preventable-diseases
Lord Boswell of Aynho,Non-affiliated,child-health-and-vaccine-preventable-diseases
Lord Rea,Labour,child-health-and-vaccine-preventable-diseases
Lord Dholakia,Liberal Democrat,child-health-and-vaccine-preventable-diseases
Mr Ian Liddell-Grainger,Conservative,child-health-and-vaccine-preventable-diseases
Dr Eilidh Whiteford,Scottish National Party,child-health-and-vaccine-preventable-diseases
Tim Loughton,Conservative,children
Baroness Howarth of Breckland,Crossbench,children
Baroness Massey of Darwen,Labour,children
Earl of Listowel,Crossbench,children
Sarah Champion,Labour,children
Baroness Walmsley,Liberal Democrat,children
Kelly Tolhurst,Conservative,children
Carolyn Harris,Labour,children-in-wales
Baroness Gale,Labour,children-in-wales
Craig Williams,Conservative,children-in-wales
Hywel Williams,Plaid Cymru,children-in-wales
Mr Mark Williams,Liberal Democrat,children-in-wales
Chris Elmore,Labour,children-in-wales
Gerald Jones,Labour,children-in-wales
Liam Byrne,Labour,children-of-alcoholics
Fiona Bruce,Conservative,children-of-alcoholics
Baroness Hollins,Crossbench,children-of-alcoholics
Caroline Flint,Labour,children-of-alcoholics
Mr Gavin Shuker,Labour (Co-op),children-of-alcoholics
Earl of Listowel,Crossbench,children-of-alcoholics
Stuart Andrew,Conservative,children-who-need-palliative-care
Lord Carlile of Berriew,Non-affiliated,children-who-need-palliative-care
Sarah Champion,Labour,children-who-need-palliative-care
Neil Gray,Scottish National Party,children-who-need-palliative-care
Jason McCartney,Conservative,children-who-need-palliative-care
Catherine McKinnell,Labour,children-who-need-palliative-care
Jim Shannon,Democratic Unionist Party,children-who-need-palliative-care
Conor Burns,Conservative,childrens-media-and-the-arts
Baroness Benjamin,Liberal Democrat,childrens-media-and-the-arts
Baroness McIntosh of Hudnall,Labour,childrens-media-and-the-arts
Andrew Rosindell,Conservative,childrens-media-and-the-arts
John Nicolson,Scottish National Party,childrens-media-and-the-arts
Sarah Champion,Labour,choice-at-the-end-of-life
Baroness Jay of Paddington,Labour,choice-at-the-end-of-life
Crispin Blunt,Conservative,choice-at-the-end-of-life
Mr Alistair Carmichael,Liberal Democrat,choice-at-the-end-of-life
Caroline Lucas,Green Party,choice-at-the-end-of-life
Paul Blomfield,Labour,choice-at-the-end-of-life
Jim Fitzpatrick,Labour,choice-at-the-end-of-life
Mr Mark Prisk,Conservative,choir
Mrs Cheryl Gillan,Conservative,choir
Lord German,Liberal Democrat,choir
Sue Hayman,Labour,choir
Mr Gary Streeter,Conservative,christians-in-parliament
Mr Gavin Shuker,Labour (Co-op),christians-in-parliament
Tim Farron,Liberal Democrat,christians-in-parliament
Sir Jeffrey M. Donaldson,Democratic Unionist Party,christians-in-parliament
Ian Blackford,Scottish National Party,christians-in-parliament
Lord Farmer,Conservative,christians-in-parliament
Baroness Sherlock,Labour,christians-in-parliament
Lord Curry of Kirkharle,Crossbench,christians-in-parliament
Baroness Brinton,Liberal Democrat,christians-in-parliament
Mr Ian Liddell-Grainger,Conservative,cider
Bill Wiggin,Conservative,cider
Lord Kilclooney,Crossbench,cider
Neil Parish,Conservative,cider
Neil Carmichael,Conservative,cider
Kelvin Hopkins,Labour,cider
Graham Stringer,Labour,city-regions-transport
Greg Mulholland,Liberal Democrat,city-regions-transport
Mike Wood,Conservative,city-regions-transport
Lord Bradley,Labour,city-regions-transport
Craig Mackinlay,Conservative,civic-societies
William Wragg,Conservative,civic-societies
Kelly Tolhurst,Conservative,civic-societies
Craig Tracey,Conservative,civic-societies
Christian Matheson,Labour,civic-societies
Barbara Keeley,Labour,classical-music
Lord Lipsey,Labour,classical-music
Lord MacGregor of Pulham Market,Conservative,classical-music
Lord German,Liberal Democrat,classical-music
Dr Roberta Blackman-Woods,Labour,classical-music
Mr Bernard Jenkin,Conservative,classical-music
Baroness McIntosh of Hudnall,Labour,classical-music
Caroline Lucas,Green Party,climate-change
Daniel Zeichner,Labour,climate-change
Rebecca Pow,Conservative,climate-change
Lord Redesdale,Liberal Democrat,climate-change
Stephen Gethins,Scottish National Party,climate-change
Lord Oxburgh,Crossbench,climate-change
Earl of Selborne,Conservative,climate-change
Stephen Doughty,Labour (Co-op),climate-change
Barry Gardiner,Labour,climate-change
Mr Roger Godsiff,Labour,climate-change
Clive Lewis,Labour,climate-change
Rachael Maskell,Labour (Co-op),climate-change
Graham Stuart,Conservative,climate-change
Dr Andrew Murrison,Conservative,clinical-leadership-and-management
Karin Smyth,Labour,clinical-leadership-and-management
Norman Lamb,Liberal Democrat,clinical-leadership-and-management
Sir Nicholas Soames,Conservative,clinical-leadership-and-management
Andrew Selous,Conservative,clinical-leadership-and-management
Chris Elmore,Labour,coalfield-communities
Mark Spencer,Conservative,coalfield-communities
Sir Kevin Barron,Labour,coalfield-communities
Alan Brown,Scottish National Party,coalfield-communities
Christina Rees,Labour (Co-op),coalfield-communities
Ian Lavery,Labour,coalfield-communities
Andrew Bingham,Conservative,commercial-radio
Pete Wishart,Scottish National Party,commercial-radio
Lord Kilclooney,Crossbench,commercial-radio
Mrs Sharon Hodgson,Labour,commercial-radio
Lord Gordon of Strathblane,Labour,commercial-radio
Sir Henry Bellingham,Conservative,commonwealth
Patrick Grady,Scottish National Party,commonwealth
Chi Onwurah,Labour,commonwealth
Richard Graham,Conservative,commonwealth
Baroness Prashar,Crossbench,commonwealth
Baroness Uddin,Non-affiliated,commonwealth
Rehman Chishti,Conservative,communities-engagement
Yasmin Qureshi,Labour,communities-engagement
Jim Shannon,Democratic Unionist Party,communities-engagement
Mr David Burrowes,Conservative,communities-engagement
Mr Ian Liddell-Grainger,Conservative,community-development-in-europe
Earl of Dundee,Conservative,community-development-in-europe
Fabian Hamilton,Labour,community-development-in-europe
Lord Anderson of Swansea,Labour,community-development-in-europe
Mr David Burrowes,Conservative,complex-needs-and-dual-diagnosis
Lord Adebowale,Crossbench,complex-needs-and-dual-diagnosis
Johnny Mercer,Conservative,complex-needs-and-dual-diagnosis
John Glen,Conservative,complex-needs-and-dual-diagnosis
Mr Steve Reed,Labour (Co-op),complex-needs-and-dual-diagnosis
Baroness Jolly,Liberal Democrat,complex-needs-and-dual-diagnosis
Baroness Armstrong of Hill Top,Labour,complex-needs-and-dual-diagnosis
Tim Loughton,Conservative,conception-to-age-two-first-1001-days
Frank Field,Labour,conception-to-age-two-first-1001-days
Mark Durkan,Social Democratic & Labour Party,conception-to-age-two-first-1001-days
Caroline Lucas,Green Party,conception-to-age-two-first-1001-days
Baroness Hollins,Crossbench,conception-to-age-two-first-1001-days
Earl of Listowel,Crossbench,conception-to-age-two-first-1001-days
Fiona Bruce,Conservative,conception-to-age-two-first-1001-days
Norman Lamb,Liberal Democrat,conception-to-age-two-first-1001-days
Kirsten Oswald,Scottish National Party,connaught-income-fund
Mr Ronnie Campbell,Labour,connaught-income-fund
Peter Aldous,Conservative,connaught-income-fund
Jonathan Edwards,Plaid Cymru,connaught-income-fund
Richard Arkless,Scottish National Party,consumer-protection
Ms Marie Rimmer,Labour,consumer-protection
Patricia Gibson,Scottish National Party,consumer-protection
Anne McLaughlin,Scottish National Party,consumer-protection
Yvonne Fovargue,Labour,consumer-protection
John Howell,Conservative,consumer-protection
Rosie Cooper,Labour,continence-care
Baroness Greengross,Crossbench,continence-care
Jason McCartney,Conservative,continence-care
Baroness Masham of Ilton,Crossbench,continence-care
Baroness Finlay of Llandaff,Crossbench,continence-care
Mr Jonathan Djanogly,Conservative,corporate-governance
Lord Gordon of Strathblane,Labour,corporate-governance
Lord Harrison,Labour,corporate-governance
Ian Blackford,Scottish National Party,corporate-governance
Robert Jenrick,Conservative,corporate-governance
Louise Haigh,Labour,corporate-governance
Michelle Thomson,Independent,corporate-governance
Mr Jonathan Djanogly,Conservative,corporate-responsibility
Baroness Greengross,Crossbench,corporate-responsibility
Lord Aberdare,Crossbench,corporate-responsibility
Mrs Flick Drummond,Conservative,corporate-responsibility
Baroness Gibson of Market Rasen,Labour,corporate-responsibility
Baroness Howe of Idlicote,Crossbench,corporate-responsibility
Lord Stone of Blackheath,Labour,corporate-responsibility
Nigel Mills,Conservative,corruption
Mark Durkan,Social Democratic & Labour Party,corruption
Byron Davies,Conservative,corruption
Dr Paul Monaghan,Scottish National Party,corruption
Pauline Latham,Conservative,corruption
Baroness Stern,Crossbench,corruption
Lord Watson of Invergowrie,Labour,corruption
Lord Rooker,Labour,corruption
Lord Paul,Non-affiliated,corruption
Tom Tugendhat,Conservative,counter-extremism
Mr Khalid Mahmood,Labour,counter-extremism
Danny Kinahan,Ulster Unionist Party,counter-extremism
Drew Hendry,Scottish National Party,counter-extremism
Nusrat Ghani,Conservative,counter-extremism
Jim Shannon,Democratic Unionist Party,counter-extremism
Peter Aldous,Conservative,county
John Howell,Conservative,county
Pat Glass,Labour,county
Baroness Bakewell of Hardington Mandeville,Liberal Democrat,county
Baroness Scott of Bybrook,Conservative,county
Fiona Bruce,Conservative,couple-relationships
Andrew Selous,Conservative,couple-relationships
Mr Graham Allen,Labour,couple-relationships
Baroness Tyler of Enfield,Liberal Democrat,couple-relationships
Lord Farmer,Conservative,couple-relationships
Steve Double,Conservative,couple-relationships
Derek Thomas,Conservative,couple-relationships
Seema Kennedy,Conservative,credit-unions
Peter Grant,Scottish National Party,credit-unions
Lord Kennedy of Southwark,Labour,credit-unions
Mark Durkan,Social Democratic & Labour Party,credit-unions
Jim Fitzpatrick,Labour,credit-unions
Chris Evans,Labour (Co-op),credit-unions
Yvonne Fovargue,Labour,credit-unions
Sir Alan Haselhurst,Conservative,cricket
Nigel Adams,Conservative,cricket
Baroness Massey of Darwen,Labour,cricket
Mrs Cheryl Gillan,Conservative,cricket
Lord Fellowes,Crossbench,cricket
Sir Henry Bellingham,Conservative,cricket
Stephen Pound,Labour,cricket
Mike Gapes,Labour (Co-op),crossrail
Dr Rupa Huq,Labour,crossrail
Lord Bradshaw,Liberal Democrat,crossrail
Lord Brougham and Vaux,Conservative,crossrail
Stephen Timms,Labour,crossrail
Stephen Pound,Labour,crossrail
Mr David Lammy,Labour,crossrail-two
Lord Adonis,Non-affiliated,crossrail-two
Iain Stewart,Conservative,crossrail-two
Baroness Valentine,Crossbench,crossrail-two
Catherine West,Labour,crossrail-two
Sir Alan Haselhurst,Conservative,crossrail-two
Mr David Burrowes,Conservative,crossrail-two
Mark Field,Conservative,crossrail-two
Meg Hillier,Labour (Co-op),crossrail-two
Mr Barry Sheerman,Labour (Co-op),crowdfunding-and-non-banking-finance
Lord Stone of Blackheath,Labour,crowdfunding-and-non-banking-finance
Lord Lucas,Conservative,crowdfunding-and-non-banking-finance
Peter Kyle,Labour,crowdfunding-and-non-banking-finance
Mr David Burrowes,Conservative,cultural-heritage
Lord Renfrew of Kaimsthorn,Conservative,cultural-heritage
Robert Jenrick,Conservative,cultural-heritage
Helen Goodman,Labour,cultural-heritage
Paul Scully,Conservative,curry-catering-industry
Baroness Uddin,Non-affiliated,curry-catering-industry
Lord Sheikh,Conservative,curry-catering-industry
Lord Bilimoria,Crossbench,curry-catering-industry
Michelle Donelan,Conservative,curry-catering-industry
Jo Stevens,Labour,curry-catering-industry
David Mackintosh,Conservative,curry-catering-industry
Philip Davies,Conservative,customer-service
Chris Evans,Labour (Co-op),customer-service
Lord Scriven,Liberal Democrat,customer-service
Amanda Milling,Conservative,customer-service
Mrs Flick Drummond,Conservative,cyber-security
Steven Paterson,Scottish National Party,cyber-security
Lord West of Spithead,Labour,cyber-security
Lord Arbuthnot of Edrom,Conservative,cyber-security
Ruth Cadbury,Labour,cycling
Alex Chalk,Conservative,cycling
Lord Young of Norwood Green,Labour,cycling
Fabian Hamilton,Labour,cycling
Ian Austin,Labour,cycling
Mr Ben Bradshaw,Labour,cycling
Dr Sarah Wollaston,Conservative,cycling
Meg Hillier,Labour (Co-op),cycling
Baroness Barker,Liberal Democrat,cycling
Lord Berkeley,Labour,cycling
Simon Hoare,Conservative,dairy
Steve Double,Conservative,dairy
Angela Smith,Labour,dairy
Steven Paterson,Scottish National Party,dairy
