Title,Purpose,Category,gid
All-Party Parliamentary Group on Body Image,"To provide a cross-party forum for MPs to discuss and monitor on an ongoing basis the causes of body image anxiety. To explore what steps can be taken to promote body confidence, working with advertisers, the media, fashion industry and youth organisations.",Subject Group,body-image
All-Party Parliamentary Group for Boxing,To act as a forum for the discussion and promotion of boxing and related issues.,Subject Group,boxing
All-Party Parliamentary Group for the Boys' Brigade,To support and promote the work of the Boys' Brigade.,Subject Group,boys-brigade
All-Party Parliamentary Group on Brain Tumours,"To raise awareness of the issues facing the brain tumour community in order to improve research, diagnosis, information, support, treatment and care outcomes.",Subject Group,brain-tumours
All-Party Parliamentary Group on Breast Cancer,"To provide a forum for MPs and Peers to work on behalf of people affected by breast cancer, raising issues of concern with government and other policy makers and keeping breast cancer high on the political agenda.",Subject Group,breast-cancer
All-Party Parliamentary Goup for Brexpats Living in Continental Europe and European Expats in the UK,"To bring together the 1.2 million expats in continental Europe and continental European citizens living in the UK to address their concerns during and post Brexit around healthcare, pensions, education, travel, legal matters, dual nationality relationships and areas where they are affected by Brexit.",Subject Group,brexpats-living-in-continental-europe-and-european-expats-in-the-uk
All-Party Parliamentary Bridge Group,"To develop an awareness of the benefits of bridge (particularly for young people and for senior citizens) and to promote enjoyment of the game, and bridge events, with the legislatures of other countries.",Subject Group,bridge
All-Party Parliamentary Group on the British Council,"For parliamentarians to learn more about and better understand the British Council, and to support the British Council, offering advice and encouragement in both its everyday and long term work.",Subject Group,british-council
British Museum All-Party Parliamentary Group,"To establish a partnership between Parliament and the British Museum, including work with local and regional museums, and an understanding of its role as a leading world museum.",Subject Group,british-museum
All-Party Parliamentary Group for the Defence of the Interests of British Property Owners in Cyprus,"To promote, defend and provide a parliamentary focus for the defence of the interests of British property owners in Cyprus.",Subject Group,british-property-owners-in-cyprus
All-Party Parliamentary Group on Broadband and Digital Communication,To further the roll out of broadband in rural and urban areas and to look at digital communication across the UK.,Subject Group,broadband-and-digital-communication
All-Party Parliamentary Group for Excellence in the Built Environment,To promote excellence in the built environment.,Subject Group,built-environment
All-Party Parliamentary Group on Bullying,"To raise the profile of the problems associated with bullying at all levels, and particularly self-excluded severely bullied children, of which there are 16,000 in England between the ages of 11 and 15 who are missing education.",Subject Group,bullying
All-Party Parliamentary Group on Business Brexit,"To bring together trade groups, industry groups, city institutions, banks, Brexit lobby groups, and country ambassadors to research and bring clarity to the Brexit business issues and opportunities facing the city, listed companies and SMEs today, on triggering Article 50 and beyond.",Subject Group,business-brexit
"All-Party Parliamentary Group on Business, Finance and Accountancy","To enable high level discussion between Parliament and business leaders on major issues relating to business, finance and accountancy.",Subject Group,business-finance-and-accountancy
All-Party Parliamentary Group on the Friends of CAFOD (Catholic Agency for Overseas Development),"To meet and discuss matters of interest to the work of CAFOD, current humanitarian crises and the role of the Catholic church in international development.",Subject Group,cafod
All-Party Parliamentary Group on Cancer,"To keep cancer on the political agenda, monitor implementation of government initiatives, provide briefings to parliamentarians and ensure policy making is evidence based and patient centred.",Subject Group,cancer
All-Party Parliamentary Group on Cannabis: Harmful Effects on Developing Brains,"To inform members of both Houses of Parliament and, using sound scientific and medical evidence, to raise awareness and stimulate discussion about the impact of cannabis on developing brains.",Subject Group,cannabis-harmful-effects-on-developing-brains
All-Party Parliamentary Group on Carbon Capture and Storage,"To provide a forum for the discussion of issues relevant to the development of carbon capture and storage (CCS) technologies for the purposes of mitigating carbon dioxide emissions from power generation, energy intensive industries and other point sources of carbon dioxide.",Subject Group,carbon-capture-and-storage
All-Party Parliamentary Carbon Monoxide Group,"To provide a forum for discussion on, and raise the profile of, carbon monoxide poisoning in relation to all fuel sources and environments.",Subject Group,carbon-monoxide
All-Party Parliamentary Group on Carers,"To promote awareness, knowledge, and understanding amongst Members of both Houses of the needs of unpaid carers.",Subject Group,carers
All-Party Parliamentary Group on Ceramics,"To broaden the understanding of ceramic manufacture in the UK among parliamentarians, to promote ceramic manufacturing as an asset within the UK economy and to provide a forum for parliamentary discussion on the issues impacting the industry.",Subject Group,ceramics
All-Party Parliamentary Channel 4 Group,"To provide a forum for discussion of Channel 4's content, strategy and contribution to public service broadcasting in the UK, as well as wider relevant regulation issues.",Subject Group,channel-4
The All-Party Parliamentary Group on Charities and Volunteering,To provide a forum for discussing the issues affecting the voluntary and community sector.,Subject Group,charities-and-volunteering
Chemical Industry All-Party Parliamentary Group,To brief Members on issues affecting chemical and pharmaceutical businesses in the UK and be a forum for Members to express views.,Subject Group,chemical-industry
All-Party Parliamentary Group on Chess,"To publicise, promote and seek support for Chess.",Subject Group,chess
All-Party Parliamentary Child and Youth Crime Group,"To find (or identify or formulate) practical solutions and policies for those aged between 0-25, be they perpetrators or victims of crime, and to look at the cause and effect of gun and knife crime, persistent and prolific offenders, gang crime, bullying, abuse, domestic violence, drug and alcohol addiction and homelessness.",Subject Group,child-and-youth-crime
All-Party Parliamentary Group on Child Health and Vaccine Preventable Diseases,To provide a platform to drive policy on preventable deaths in the developing world.,Subject Group,child-health-and-vaccine-preventable-diseases
All-Party Parliamentary Group for Children,"To raise greater awareness in the Houses of Parliament of aspects of the well-being of the nation's children aged 0-18 years, and our obligations under the United Nations Convention on the Rights of the Child; and to work with children, young people, children's organisations, and politicians from all sides to promote first-class government policy for children.",Subject Group,children
All-Party Parliamentary Group for Children in Wales,To discuss a range of issues affecting children in Wales.,Subject Group,children-in-wales
All-Party Parliamentary Group on Children of Alcoholics,"To champion the cause of children of dependent and hazardous drinkers, to conduct research, to raise issues of concern and to make recommendations to government and other policy makers.",Subject Group,children-of-alcoholics
All-Party Parliamentary Group for Children who need Palliative Care,"To inform policy which secures the best quality of life and death for the growing number of babies, children and young people with life-limiting or life-threatening conditions. To improve awareness of their needs and to make sure they are understood by those who can help, including government and parliament.",Subject Group,children-who-need-palliative-care
All-Party Parliamentary Group for Children's Media and the Arts,"To provide greater awareness of the issues around children's media and arts by bringing together the interests of both audience and industry within a wide cultural, social and educational context, to promote first class arts and media for children.",Subject Group,childrens-media-and-the-arts
All-Party Parliamentary Group for Choice at the End of Life,"To promote greater patient choice at the end of life, particularly over where, when and how one dies. This group believes that mentally competent adults should have the right to refuse treatment, and provided sufficient legal safeguards are in place, the right to an assisted death.",Subject Group,choice-at-the-end-of-life
All Party-Parliamentary Group for The Parliament Choir,"The study and practice of choral music in order to foster public knowledge and appreciation of such music by means of public performance. The promotion of the art of singing and music by means of assistance to young singers and musicians and by the provision of scholarships, bursaries and prizes for singers.",Subject Group,choir
All-Party Parliamentary Group on Christians in Parliament,To support Christians of all denominations and parties in their work in the Houses of Parliament.,Subject Group,christians-in-parliament
All-Party Parliamentary Cider Group,"To promote the cause of cider as a drink; raise its profile; and to inform and educate people about its role and importance, especially in rural areas.",Subject Group,cider
All-Party Parliamentary City Regions Transport Group,To promote parliamentary debate and discussion on transport issues in metropolitan areas.,Subject Group,city-regions-transport
All-Party Parliamentary Group for Civic Societies,"To discuss issues related to civic society and the civic movement; to realise these issues on the parliamentary agenda; and to provide a forum for an exchange of views between stakeholders with an interest in making places more attractive, enjoyable and distinctive.",Subject Group,civic-societies
All-Party Parliamentary Group on Classical Music,"To bring together parliamentarians who have an interest in and wish to further the appreciation of classical music; to act as an interface between British orchestras' on and off-stage activities, the wider classical music industry, including broadcasters and the recording industry, and key decision makers and opinion formers",Subject Group,classical-music
All-Party Parliamentary Group on Climate Change Group,To raise awareness of the threat of climate change and to promote policies to counter that threat.,Subject Group,climate-change
All-Party Parliamentary Group on Clinical Leadership and Management,"To examine, promote and advance leadership and management in healthcare.",Subject Group,clinical-leadership-and-management
All-Party Parliamentary Group for the Coalfield Communities,"To promote awareness among MPs of issues that continue to face former coalfield areas; to support the regeneration and economic development of coalfield communities; to raise the profile of the economic, social and environmental issues affecting such areas and to press government to implement effective and sustainable policy solutions.",Subject Group,coalfield-communities
All-Party Parliamentary Commercial Radio Group,To seek a better understanding between broadcasters and parliamentarians about the vital role that radio plays in our communities and our economy.,Subject Group,commercial-radio
All-Party Parliamentary Group for the Commonwealth,"To inform Members about the Commonwealth Secretariat's developments to strengthen the Commonwealth network; to keep members aware of the range of non-parliamentary activities and programmes carried out underneath the Commonwealth brand, both on governmental and non-governmental levels; and to take advantage of opportunities within the developing Commonwealth network for Britain's political and commercial activities and for Britain's positioning in the new international landscape.",Subject Group,commonwealth
All-Party Parliamentary Group for Communities Engagement,"To help parliamentarians to be aware of, and respond to, the various issues and challenges facing members of the diverse communities in the UK.",Subject Group,communities-engagement
All-Party Parliamentary Group for Community Development in Europe,"To raise awareness among British parliamentarians of methods and best practice to improve the stability of families and communities; to develop contacts accordingly between European parliamentarians; and to evaluate evidence from methods and good practice, including that from voluntary and private institutions and from partnerships between public and private sectors.",Subject Group,community-development-in-europe
All-Party Parliamentary Group on Complex Needs and Dual Diagnosis,"To give parliamentarians a greater understanding of the barriers faced by those with complex needs or dual diagnosis, who may have to negotiate a number of issues (substance misuse, mental health issues) in their lives while often living in deprivation and lacking access to stable housing or meaningful daily activities.",Subject Group,complex-needs-and-dual-diagnosis
All-Party Parliamentary Group for Conception to Age Two: First 1001 Days,"To promote a holistic approach to the antenatal and post natal period, specifically with regards to the early years and infant mental health; to hold evidence-based enquiries into best practice for the 1001 critical days to help policymakers make informed decisions on provision in this period; and to uphold cross-party consensus for this age group.",Subject Group,conception-to-age-two-first-1001-days
All-Party Parliamentary Group for the Connaught Income Fund,To examine and investigate the regulatory responsibilities surrounding the Connaught Income Fund (Series 1); and to achieve maximum possible compensation for constituents affected by the law.,Subject Group,connaught-income-fund
All-Party Parliamentary Group on Consumer Protection,"To provide a voice for ordinary retail consumers across a range of sectors in the UK economy; to raise awareness of issues, rights and obligations in the field of consumer protection with parliamentarians and the wider public.",Subject Group,consumer-protection
All-Party Parliamentary Group on Continence Care,To break the taboo by raising awareness of continence issues for adults and children and to promote cost effective funding for continence services and provision.,Subject Group,continence-care
All-Party Parliamentary Corporate Governance Group,"To influence and develop understanding of corporate governance through the promotion of a culture based on responsible leadership and investments, thus enabling corporates and their shareholders to enhance prosperity for the benefit of shareholders, economies and society.",Subject Group,corporate-governance
All-Party Parliamentary Corporate Responsibility Group,To promote debate and understanding of corporate responsibility.,Subject Group,corporate-responsibility
All-Party Parliamentary Group on Anti-Corruption,"To raise awareness of the causes, consequences and mechanisms of international corruption and to strengthen the UK anti-corruption infrastructure.",Subject Group,corruption
All-Party Parliamentary Group on Counter-Extremism,"To aid Parliament by alerting it to the dangers of extremism, helping to identify the implications of extremism and the responses society can take to combat its origins and effects, complementing the activities of relevant select committees, supporting the output of related APPGs, and offering leadership in challenging existing extremism, how it acts, and how it can be combatted.",Subject Group,counter-extremism
County All-Party Parliamentary Group,To promote the importance of county councils to parliamentarians.,Subject Group,county
All-Party Parliamentary Group for Strengthening Couple Relationships,"To promote and develop marriage and relationship skills and support, identifying best practice within the UK and internationally, to help reduce family breakdown.",Subject Group,couple-relationships
All-Party Parliamentary Group on Credit Unions,"To provide a forum for discussing the work of credit unions and the need to secure a supportive environment, including enabling legislation and proportionate regulation, to allow credit unions to scale up and provide inclusive financial services to many more people.",Subject Group,credit-unions
All-Party Parliamentary Cricket Group,To support and promote the interests of cricket at all levels.,Subject Group,cricket
All-Party Parliamentary Crossrail Group,"To promote the successful completion of Crossrail, and other related matters.",Subject Group,crossrail
All-Party Parliamentary Group for Crossrail Two,To discuss and promote the successful development of Crossrail Two.,Subject Group,crossrail-two
All-Party Parliamentary Group on Crowdfunding and Non-Banking Finance,To bring together Members of Parliament and peers who have an interest in new ways of funding community and social start-ups through the use of new financial systems.,Subject Group,crowdfunding-and-non-banking-finance
All-Party Parliamentary Group for the Protection of Cultural Heritage,"To raise awareness of the devastating impact that the destruction of cultural heritage has on the dignity of human beings amongst parliamentarians, media, government and the general public in the UK; and to increase effectiveness of the UK's contribution to the international efforts to address cultural heritage.",Subject Group,cultural-heritage
British Curry Catering Industry All-Party Parliamentary Group,To provide a forum for parliamentarians to consider and discuss the role and contribution of the British curry catering industry.,Subject Group,curry-catering-industry
All-Party Parliamentary Group on Customer Service,"To raise awareness and understanding of customer service, including its impact on economic growth. To improve public services, business performance and employability through customer service skills training and provide an improved outcome for customers and citizens.",Subject Group,customer-service
All-Party Parliamentary Group on Cyber Security,"To be a forum for cyber security briefings and discussion. To address developments in cyber security systems and techniques affecting consumers, business and its role in defence, the UK economy/society and the Critical National Infrastruture. To examine security, identity, regulation and fraud. To raise awareness and understanding for non-specialists.",Subject Group,cyber-security
All-Party Parliamentary Cycling Group,To promote the use of bicycles as a means of transport and to raise both inside and outside the House the practice and status of cycling.,Subject Group,cycling
Dairy All-Party Parliamentary Group,To provide a forum for parliamentarians to discuss issues of interest for the dairy industry. To ensure they are fully briefed on developments in the dairy supply chain. To support the development of a sustainable and profitable dairy industry.,Subject Group,dairy
All-Party Parliamentary Group for Dalits,To draw attention to the discrimination against Dalits (the former untouchables) wherever it occurs and support attempts to eliminate it.,Subject Group,dalits
All-Party Parliamentary Dance Group,"To promote dance as an art form and as an important element of healthy living and the fight against obesity, and to promote its education and social benefits.",Subject Group,dance
All-Party Parliamentary Group on Data Analytics,"To disseminate knowledge, generate debate and facilitate engagement on data analytics amongst Members of both Houses of Parliament.",Subject Group,data-analytics
All-Party Parliamentary Group on Deafness,To promote the interests of people who are deaf or have a hearing loss.,Subject Group,deafness
All-Party Parliamentary Group on the Abolition of the Death Penalty,To campaign for the abolition of the death penalty in all circumstances and to raise awareness of death penalty cases.,Subject Group,death-penalty
All-Party Parliamentary Group on Debt and Personal Finance,To provide a forum for MPs and peers to discuss debt and personal finance issues; to monitor legislative and other developments in this area; and to provide an opportunity for liaison between members and consumer organisations with an interest in these issues.,Subject Group,debt-and-personal-finance
All-Party Parliamentary Group on Defence and Security Issues,"To explore short or long term issues which potentially could require responses from the UK's armed forces, blue light services, security and intelligence communities, industry or the civil power, alone, in coalitions or through membership of international bodies.",Subject Group,defence-and-security-issues
All-Party Parliamentary Group on Dementia,To raise awareness of the condition amongst parliamentarians and to influence legislation and policy making with the aim of improving the lives of people with dementia and their carers.,Subject Group,dementia
All-Party Parliamentary Group on Democracy and Human Rights in the Gulf,For the protection and promotion of human rights and democracy in the Gulf.,Subject Group,democracy-and-human-rights-in-the-gulf
All-Party Parliamentary Group on Democratic Participation,To serve as a platform to inspire democratic participation and innovation.,Subject Group,democratic-participation
All-Party Parliamentary Group for Dentistry and Oral Health,"To act as a focus for dentistry and oral health issues and raise the profile of dentistry, highlighting the views of both patients and the professionals.",Subject Group,dentistry-and-oral-health
All-Party Parliamentary Design and Innovation Group,"To encourage the exchange of knowledge and understanding between Parliament and the design industry and innovation communities, helping to raise the profile of design both inside and outside of Parliament.",Subject Group,design-and-innovation
All-Party Parliamentary Group for Diabetes,"To raise awareness of type 1 and type 2 diabetes, and to promote engagement between parliamentarians, clinicians, relevant organisations and patients.",Subject Group,diabetes
All-Party Parliamentary Group on Digital Crime,To inform parliamentarians about the extent of digital crime.,Subject Group,digital-crime
All-Party Parliamentary Group for Digital Economy,"To further the aim of delivering a digital economy, recognising that the growth of the digital economy has widespread impact on the whole economy.",Subject Group,digital-economy
All-Party Parliamentary Group for Disability,"To work on all-party basis within Parliament for the interests of all disabled people, their families, friends and carers.",Subject Group,disability
All-Party Parliamentary Group for District Councils,"To work to promote the interests of district councils, support closer working with parliamentarians and to raise awareness of the opportunities for districts in shaping the evolving local government agenda.",Subject Group,district-councils
All-Party Parliamentary Group for Dog Welfare,To campaign for the abolition of all third-party sales of dogs and other dog welfare issues.,Subject Group,dog-welfare
All-Party Parliamentary Group on Domestic Violence,"To work towards the elimination of domestic violence, to highlight issues arising, and to contribute to the development of policy.",Subject Group,domestic-violence
All-Party Parliamentary Group on Drones,"To examine the use of drones (unmanned aerial vehicles) by governments, for domestic and international, military and civilian purposes.",Subject Group,drones
All-Party Parliamentary Group for Drug Policy Reform,To discuss drug policy reform based on available evidence and with a health focus.,Subject Group,drug-policy-reform
All-Party Parliamentary Group on Dyslexia and Other Specific Learning Difficulties,"To understand Dyslexia and other specific learning difficulties and the need to keep government appraised of the situation in schools, education and in general in the UK. The group will also look at what statutory and non-statutory bodies are achieving in this field.",Subject Group,dyslexia-and-other-specific-learning-difficulties
East-West Rail All-Party Parliamentary Group,"To establish a strategic railway connecting East Anglia with central, southern and western England.",Subject Group,east-west-rail
All-Party Parliamentary group for E-Cigarettes,To explore the most appropriate parliamentary and regulatory response to e-cigarettes and to raise education and literacy amongst policy makers regarding e-cigarettes and related public policy questions.,Subject Group,e-cigarettes
All-Party Parliamentary Group for Education,To promote and stimulate debate across all sectors of education.,Subject Group,education
All-Party Parliamentary Group on Education Governance and Leadership,To raise the profile and changing role of school governors; to act as advocates for the importance of good school governors; to ensure school governors' views and concerns are heard in Parliament; to raise the profile of the leadership role of school governors.,Subject Group,education-governance-and-leadership
"All-Party Parliamentary Group for Eggs, Pigs and Poultry","To raise issues of concern to the egg, pig and poultry sectors.",Subject Group,eggs-pigs-and-poultry
All-Party Parliamentary Group on Endangered Species,"To ensure that the plight of endangered species is on the political agenda of government; to act as a channel for contacts with experts, NGOs, and parliamentarians overseas; to seek to influence the development and introduction of effective wide-ranging global agreements; and to focus on ensuring that such agreements are enforced robustly.",Subject Group,endangered-species
All-Party Parliamentary Group on Energy Costs,To promote evidence-based discussion on all aspects of energy costs; to inform energy policy decisions and public debate; and to enable communication between interested parties and relevant parliamentarians.,Subject Group,energy-costs
Energy Intensive Industries All-Party Parliamentary Group,To promote the interests of energy intensive companies in Parliament and assist Members with any information.,Subject Group,energy-intensive-industries
All-Party Parliamentary Group on Energy Storage,"To engage parliamentarians interested in energy storage technologies and their applications, bringing them together with businesses, NGOs and experts in the field of energy storage to share information, promote awareness and debate future policy options.",Subject Group,energy-storage
All-Party Parliamentary Group for Energy Studies,"To look at all aspects of energy and help industry, academia and government to work together.",Subject Group,energy-studies
All-Party Parliamentary Engineering Group,To promote the role of engineering and the future of engineering in the UK.,Subject Group,engineering
All-Party Parliamentary Group for Entrepreneurship,"To encourage, support and promote entrepreneurship and to engage with entrepreneurs; and to ensure that Parliament is kept up to date on what is needed to create and sustain the most favourable conditions for entrepreneurship.",Subject Group,entrepreneurship
All-Party Parliamentary Environment Group,To raise awareness of environmental issues to both Houses.,Subject Group,environment
All-Party Parliamentary Group on Epilepsy,To raise awareness of epilepsy among parliamentarians and to engage with individuals and organisations in supporting the promotion of the needs of the epilepsy community.,Subject Group,epilepsy
All-Party Parliamentary Group for Justice for Equitable Life Policyholders,To provide a cross-party forum in which to hold the government to account on the issue of properly compensating Equitable Life policyholders.,Subject Group,equitable-life
All-Party Parliamentary Group on Ethics and Sustainability in Fashion,The aim of the group is to address a range of concerns about the impact of the fashion industry on environmental and ethical issues.,Subject Group,ethics-and-sustainability-in-fashion
All-Party Parliamentary Group for the UK Events Industry,To represent the UK events industry in Parliament; to highlight the value of the industry; to engage with politicians and industry representatives; and to ensure that the UK benefits from the success of large internationally prominent events.,Subject Group,events-industry
The All-Party Parliamentary Group on Explosive Weapons,"To draw attention to the humanitarian consequences of the manufacture, possession, sale, purchase, transport and unlawful use of explosive weapons, and raise the profile of the humanitarian benefits of mine action work, campaigning for appropriate policy change and acting as a focal point for debate and the exchange of ideas, views and information.",Subject Group,explosive-weapons
All-Party Parliamentary Group on Extraordinary Rendition,"To examine extraordinary rendition and related issues, in response to allegations of British involvement in the extraordinary rendition programme.",Subject Group,extraordinary-rendition
All-Party Parliamentary Group for Fair Business Banking,To put forward policy recommendations to government that encourage a finance system that allows enterprise to flourish and business to thrive.,Subject Group,fair-business-banking
All-Party Parliamentary Group for Fair Fuel for Motorists and Hauliers,To investigate high petrol and diesel prices.,Subject Group,fair-fuel-for-motorists-and-hauliers
All-Party Parliamentary Group on Fairs and Showgrounds,To help the industry in convening meetings with government departments who are introducing legislation to changing existing legislation to the detriment of the fairs and showgrounds industry.,Subject Group,fairs-and-showgrounds
All-Party Parliamentary Group for Fairtrade,To promote Fairtrade within Parliament; to deepen the relationship between local Fairtrade organisations and parliamentarians and to further raise awareness of the importance of Fairtrade.,Subject Group,fairtrade
All-Party Parliamentary Group for Faith and Society,"To promote understanding, recognition and support for faith based organisations across the country.",Subject Group,faith-and-society
All-Party Parliamentary Group for Family Business,To promote and facilitate communication and understanding between the UK family business sector and members of both Houses.,Subject Group,family-business
All-Party Parliamentary Group on Fatherhood,To promote the wellbeing of children by ensuring that legal and policy frameworks keep up with the changing nature of family life and that legislation encourages active and responsible fatherhood.,Subject Group,fatherhood
All-Party Parliamentary Film Industry Group,To enhance understanding of and promotion of the British film industry and film culture in the UK.,Subject Group,film-industry
All-Party Parliamentary Group on Financial Education for Young People,"To provide a forum for parliamentarians and organisations to discuss the current provision of financial education in schools, further education and higher education, and ensure that all young people - regardless of background - are equipped to make informed financial decisions.",Subject Group,financial-education-for-young-people
All-Party Parliamentary Group on Wholesale Financial Markets and Services,"The APPG is an informal cross-party interest and educational group. It was established to provide parliamentarians with a unique forum for briefings and constructive debate on issues relating to the wholesale financial sector with senior city practitioners, advisors, economists and academics.",Subject Group,financial-markets-and-services
All-Party Parliamentary Group on Financial Technology,"To raise awareness in Parliament of the growing importance of Fin Tech (Financial Technology) to the UK economy, to policy-making and consumers; to promote a regulatory framework that encourages a growing, inclusive and competitive FinTech Industry; to investigate the potential applications of FinTech including peer-to-peer lending, crowdfunding, digital currencies, internet banking.",Subject Group,financial-technology
All-Party Parliamentary Fire Safety Rescue Group,To meet and discuss topical fire safety and rescue issues with appropriate specialists in these fields.,Subject Group,fire-safety-rescue
First Aid All-Party Parliamentary Group,To promote amongst parliamentarians the importance of first aid in society.,Subject Group,first-aid
All-Party Parliamentary Fisheries Group,To promote and support the UK fishing industry in Parliament.,Subject Group,fisheries
All-Party Parliamentary Group on a Fit and Healthy Childhood,To promote evidence based discussion and produce reports on all aspects of childhood health and wellbeing including obesity; to inform policy decisions and public debate relating to childhood; and to enable communications between interested parties and relevant parliamentarians.,Subject Group,fit-and-healthy-childhood
All-Party Parliamentary Group on Fixed Odds Betting Terminals,To address the issues associated with fixed odds betting terminals.,Subject Group,fixed-odds-betting-terminals
Flags and Heraldry All-Party Parliamentary Group,"To promote the flying of the Union Flag and flags associated with the UK, British territories, dependencies, the Commonwealth, heraldry, British symbols and related issues.",Subject Group,flags-and-heraldry
All-Party Parliamentary Group on Flood Prevention,"To discuss and further flood prevention across the UK, and minimise the impact of flooding on members of the public and British businesses.",Subject Group,flood-prevention
All-Party Parliamentary Group for Foetal Alcohol Spectrum Disorder,"To raise awareness about Foetal Alcohol Spectrum Disorder (FASD) across all sections of society, highlighting the impact on those affected, considering what legislative or other recommendations should be made to the House in order to both alleviate the impact of FASD and reduce the UK incidence rate.",Subject Group,foetal-alcohol-spectrum-disorder
All-Party Parliamentary Group on Folk Arts,"To promote, advocate and lobby on behalf of the folk arts (music and arts) practised throughout the UK.",Subject Group,folk-arts
All-Party Parliamentary Group for Food and Drink Manufacturing,To consider the issues of concern to the food and drink manufacturing industry and raise awareness of these matters in Parliament.,Subject Group,food-and-drink-manufacturing
Food and Health All-Party Parliamentary Group,"To provide a cross-party, independent forum for the exchange of views and information on food policy and to provide an environment for well informed debate; and the opportunity to contribute to the development of policies on food, diet and health.",Subject Group,food-and-health
All-Party Parliamentary Group on Food Waste,"To bring together parliamentarians with an interest in this issue; to facilitate informed discussion with policy-makers, the food industry and environmental and food redistribution organisations; to promote policies which will reduce food waste.",Subject Group,food-waste
All-Party Parliamentary Football Group,"To focus on policy issues affecting the football industry, from grassroots and fans to the professional end of the game.",Subject Group,football
All-Party Parliamentary Group for Football Supporters,To represent the interests of match-going football fans and to support the aims and objectives of the Football Supporters' Federation.,Subject Group,football-supporters
All-Party Parliamentary Group on Foreign Affairs,"To examine issues of UK foreign policy and the likely challenges of achieving prosperity, security and prevention of conflict.",Subject Group,foreign-affairs
All-Party Parliamentary Group on Forestry,"A successful forestry and wood-processing sector is positive for the economy, environment, biodiversity, recreation and health. But its future is under threat unless urgent action is taken. The sector needs a secure supply of timber and woodlands must be managed responsibly. The APPG will help tackle both of these issues.",Subject Group,forestry
All Party Parliamentary Group on Formula One,To support the sport and industry of Formula One.,Subject Group,formula-one
All-Party Parliamentary Group on the Fourth Industrial Revolution,"To support and promote the Fourth Industrial Revolution (4IR) in Parliament and encourage government, parliamentarians, academics, the private sector, and other stakeholders to engage with 4IR-related issues.",Subject Group,fourth-industrial-revolution
All-Party Parliamentary Group on Freedom of Movement,To promote informed parliamentary and public debate about the value of free movement to British society and the UK economy and to conduct research into the impact of free movement on individuals and their communities and related issues.,Subject Group,freedom-of-movement
All-Party Parliamentary Group on Freight Transport,Promoting freight transport in Parliament and providing a forum to discuss challenges in order to influence positive change.,Subject Group,freight-transport
All-Party Parliamentary Group for Friends of Syria,"To build a greater understanding in Parliament of the current conflict in Syria and to allow parliamentarians to discuss the diplomatic, humanitarian and military options for UK policy.",Subject Group,friends-of-syria
All-Party Parliamentary Group on Frozen British Pensions,To bring together Parliamentary supporters of the case to unfreeze British state pensions overseas and to campaign for reform.,Subject Group,frozen-british-pensions
All-Party Parliamentary Group for Fruit and Vegetable Farmers,To raise awareness and understanding of the fruit and vegetable industry and to provide the voice of fruit and vegetable farmers inside and outside Parliament.,Subject Group,fruit-and-vegetable-farmers
All-Party Parliamentary group on Fuel Poverty and Energy Efficiency,To maintain awareness in Parliament of fuel poverty issues; to monitor and comment on progress against Government's targets to eradicate fuel poverty; to advocate policies that deliver affordable warmth for vulnerable households with emphasis on improved domestic energy efficiency including effective thermal insulation alongside efficient and effective heating systems.,Subject Group,fuel-poverty-and-energy-efficiency
All-Party Parliamentary Group for Funerals and Bereavement,To provide a forum for the discussion of funeral and bereavement issues.,Subject Group,funerals-and-bereavement
All-Party Parliamentary Furniture Industry Group,To raise awareness of the furniture industry and to publicise and promote the industry in the UK in order to protect jobs and investment.,Subject Group,furniture-industry
All-Party Parliamentary Group for Further Education and Lifelong Learning,"To promote and develop the interests of FE, adult learning, skills sectors and to advise Government ministers on matters of concern to those sectors.",Subject Group,further-education-and-lifelong-learning
All-Party Parliamentary Group for the Future of Transport,"To help ensure that Britain is at the forefront of transport innovation, by taking a wide multi-modal view of how technology, engineering and transport are all interconnected and how each affects the other.",Subject Group,future-of-transport
All-Party Parliamentary Group on the Future of Work,To promote discussion about the changing contours of UK workplaces; identifying the policies and practices that deliver good work culture; and how independent collective employee voice is key to improved UK productivity.,Subject Group,future-of-work
All-Party Parliamentary Game and Wildlife Conservation Group,To provide a forum for discussion of science-based wildlife conservation policies in the countryside.,Subject Group,game-and-wildlife-conservation
All-Party Parliamentary Gardening and Horticulture Group,To promote and facilitate communication and understanding between representatives of the world of gardening and horticulture and Members of both Houses.,Subject Group,gardening-and-horticulture
All-Party Parliamentary Group on General Aviation,To promote and defend general aviation in the United Kingdom thereby helping to realise the government's objective of making the United Kingdom the world's leading general aviation nation.,Subject Group,general-aviation
All-Party Parliamentary Group for Genocide Prevention,To raise awareness and build coalitions to prevent conflicts and genocides around the world.,Subject Group,genocide-prevention
All-Party Parliamentary Group on Global Education for All,"To raise greater awareness of the factors affecting education in developing countries, and the government's obligations to help meet international goals for education for all. To work with all parties, international development organisations, education stakeholders (including unions) both nationally and internationally, to help secure a good quality education for all.",Subject Group,global-education-for-all
All-Party Parliamentary Group on Global Health,"To provide a parliamentary platform to identify and debate global health issues and concerns, raise the profile of global health within Parliament and government and prepare reports and make recommendations as appropriate.",Subject Group,global-health
All-Party Parliamentary Group on Global Security and Non-Proliferation,"To encourage discussion and debate, on the basis of expert information and opinion from across the political spectrum, on matters relating to global security and the proliferation of weapons of mass destruction - whether nuclear, chemical or biological.",Subject Group,global-security-and-non-proliferation
